TERM	DOID
"communicating hydrocephalus (disorder)"	"DOID1573"
"communicating hydrocephalus (disorder) [ambiguous]"	"DOID1573"
"alcohol abuse"	"DOID1574"
"ethanol abuse"	"DOID1574"
"rheumatic disease"	"DOID1575"
"limited scleroderma"	"DOID1577"
"limited cutaneous systemic sclerosis"	"DOID1577"
"systemic sclerosis, limited"	"DOID1577"
"systemic sclerosis, limited"	"DOID1577"
"pulmonary systemic sclerosis"	"DOID1578"
"lung disease with systemic sclerosis"	"DOID1578"
"lung disease with systemic sclerosis (disorder)"	"DOID1578"
"lung involvement in systemic sclerosis"	"DOID1578"
"respiratory system disease"	"DOID1579"
"diffuse scleroderma"	"DOID1580"
"diffuse systemic sclerosis"	"DOID1580"
"systemic sclerosis, diffuse (disorder)"	"DOID1580"
"laryngeal tuberculosis"	"DOID1583"
"acute chest syndrome"	"DOID1584"
"acute chest syndrome in sickle cell disease"	"DOID1584"
"rheumatic fever"	"DOID1586"
"acute rheumatic fever"	"DOID1586"
"rhf - rheumatic fever"	"DOID1586"
"thrombocytopenia due to platelet alloimmunization"	"DOID1587"
"auto-immune thrombocytopenia"	"DOID1587"
"auto-immune thrombocytopenia"	"DOID1587"
"immune thrombocytopenia (disorder)"	"DOID1587"
"thrombocytopenia due to immune destruction"	"DOID1587"
"thrombocytopenia"	"DOID1588"
"renovascular hypertension"	"DOID1591"
"renovascular hypertension (disorder)"	"DOID1591"
"endogenous depression"	"DOID1595"
"clinical depression"	"DOID1595"
"unipolar depression"	"DOID1595"
"mental depression"	"DOID1596"
"integumentary system disease"	"DOID16"
"lymphadenitis"	"DOID1602"
"acute adenitis"	"DOID1602"
"acute lymphadenitis"	"DOID1602"
"acute lymphadenitis"	"DOID1602"
"acute lymphadenitis (disorder)"	"DOID1602"
"adenitis"	"DOID1602"
"chronic adenitis"	"DOID1602"
"chronic lymphadenitis"	"DOID1602"
"chronic lymphadenitis"	"DOID1602"
"chronic lymphadenitis (disorder)"	"DOID1602"
"chronic lymphadenitis any lymph node, except mesenteric"	"DOID1602"
"inflammation of lymph node"	"DOID1602"
"lymphadenitis (disorder)"	"DOID1602"
"lymphadenitis nos"	"DOID1602"
"lymphadenitis nos (disorder)"	"DOID1602"
"hypoglycemic coma"	"DOID1607"
"hypoglycaemic coma"	"DOID1607"
"hypoglycaemic coma"	"DOID1607"
"hypoglycaemic coma"	"DOID1607"
"hypoglycemic coma"	"DOID1607"
"hypoglycemic coma (disorder)"	"DOID1607"
"hypoglycemic coma (disorder) [ambiguous]"	"DOID1607"
"hypoglycemic coma nos (disorder)"	"DOID1607"
"keratosis"	"DOID161"
"breast cancer"	"DOID1612"
"breast tumor"	"DOID1612"
"malignant neoplasm of breast"	"DOID1612"
"malignant tumor of the breast"	"DOID1612"
"mammary cancer"	"DOID1612"
"mammary tumor"	"DOID1612"
"primary breast cancer"	"DOID1612"
"male breast cancer"	"DOID1614"
"malignant neoplasm of male breast"	"DOID1614"
"neoplasm of male breast (disorder)"	"DOID1614"
"benign eccrine breast spiradenoma"	"DOID1616"
"benign eccrine breast spiradenoma"	"DOID1616"
"breast fibroadenoma"	"DOID1618"
"cellular fibroadenoma"	"DOID1618"
"complex fibroadenoma of breast"	"DOID1618"
"fibroadenoma"	"DOID1618"
"fibroadenoma"	"DOID1618"
"fibroadenoma of breast (disorder)"	"DOID1618"
"juvenile fibroadenoma (morphologic abnormality)"	"DOID1618"
"juvenile fibroadenoma of breast"	"DOID1618"
"cancer"	"DOID162"
"malignant neoplasm"	"DOID162"
"malignant tumor "	"DOID162"
"primary cancer"	"DOID162"
"breast leiomyoma"	"DOID1623"
"breast adenoma"	"DOID1625"
"ademoma - breast"	"DOID1625"
"breast duct papilloma"	"DOID1626"
"duct papilloma of breast (disorder)"	"DOID1626"
"papilloma of the breast"	"DOID1626"
"intraductal papilloma"	"DOID1627"
"ductal papilloma"	"DOID1627"
"intraductal papilloma (morphologic abnormality)"	"DOID1627"
"intraductal papillary breast neoplasm"	"DOID1628"
"breast myofibroblastoma"	"DOID1629"
"benign breast phyllodes tumor"	"DOID1631"
"benign cystosarcoma phyllodes"	"DOID1631"
"benign phyllodes neoplasm"	"DOID1631"
"benign phyllodes neoplasm of the breast"	"DOID1631"
"cystosarcoma phyllodes"	"DOID1631"
"cystosarcoma phyllodes nos (morphologic abnormality)"	"DOID1631"
"cystosarcoma phyllodes, nos"	"DOID1631"
"phyllodes neoplasm"	"DOID1631"
"phyllodes tumor, benign (morphologic abnormality)"	"DOID1631"
"breast papillomatosis"	"DOID1634"
"papillomatosis of the breast"	"DOID1634"
"breast angiomatosis"	"DOID1637"
"central nervous system tuberculosis"	"DOID1638"
"intracranial tuberculoma"	"DOID1638"
"tuberculoma of brain"	"DOID1638"
"tuberculosis of meninges and central nervous system"	"DOID1638"
"tuberculosis of meninges and central nervous system (disorder)"	"DOID1638"
"tuberculous abscess of brain"	"DOID1638"
"skeletal tuberculosis"	"DOID1639"
"osteoarticular tuberculosis"	"DOID1639"
"benign breast adenomyoepithelioma"	"DOID1641"
"benign adenomyoepithelioma of the breast"	"DOID1641"
"breast adenomyoepithelioma"	"DOID1642"
"breast adenomyoepithelioma with malignant change"	"DOID1642"
"malignant adenomyoepithelioma of breast"	"DOID1642"
"female breast upper-inner quadrant cancer"	"DOID1647"
"malignant neoplasm of upper-inner quadrant of female breast (disorder)"	"DOID1647"
"female breast lower-inner quadrant cancer"	"DOID1649"
"malignant neoplasm of lower-inner quadrant of female breast (disorder)"	"DOID1649"
"female breast axillary tail cancer"	"DOID1650"
"malignant neoplasm of axillary tail of female breast (disorder)"	"DOID1650"
"ventricular septal defect"	"DOID1657"
"interventricular septal defect"	"DOID1657"
"ventricular septal abnormality"	"DOID1657"
"supratentorial cancer"	"DOID1659"
"brain neoplasm, supratentorial"	"DOID1659"
"malignant supratentorial tumor"	"DOID1659"
"melanotic neuroectodermal tumor"	"DOID166"
"infantile melanotic neuroectodermal neoplasm"	"DOID166"
"melanotic neuroectodermal tumor (morphologic abnormality)"	"DOID166"
"melanotic neuroectodermal tumor of infancy (morphologic abnormality)"	"DOID166"
"pigmented neuroectodermal tumour of infancy"	"DOID166"
"malignant pineal area germ cell neoplasm"	"DOID1660"
"malignant pineal parenchymal germ cell tumor"	"DOID1660"
"pineal germ cell tumor"	"DOID1660"
"pineal germ cell tumor (disorder)"	"DOID1660"
"pineal region germ cell tumor"	"DOID1660"
"pineoblastoma"	"DOID1664"
"pineal pnet"	"DOID1664"
"behcet's syndrome arthropathy"	"DOID1670"
"arthropathy in behcet's syndrome involving ankle and foot"	"DOID1670"
"arthropathy in behcet's syndrome involving forearm"	"DOID1670"
"arthropathy in behcet's syndrome involving hand"	"DOID1670"
"arthropathy in behcet's syndrome involving lower leg"	"DOID1670"
"arthropathy in behcet's syndrome involving multiple sites"	"DOID1670"
"arthropathy in behcet's syndrome involving pelvic region and thigh"	"DOID1670"
"arthropathy in behcet's syndrome involving shoulder region"	"DOID1670"
"arthropathy in behcet's syndrome involving upper arm"	"DOID1670"
"behcet syndrome arthropathy"	"DOID1670"
"spontaneous tension pneumothorax"	"DOID1672"
"spontaneous tension pneumothorax (disorder)"	"DOID1672"
"spontaneous tension pneumothorax (disorder) [ambiguous]"	"DOID1672"
"pneumothorax"	"DOID1673"
"low implantation of placenta"	"DOID1677"
"chronic interstitial cystitis"	"DOID1678"
"chronic interstitial cystitis (disorder)"	"DOID1678"
"chronic interstitial cystitis (disorder) [ambiguous]"	"DOID1678"
"chronic interstitial cystitis nos (disorder)"	"DOID1678"
"cystitis"	"DOID1679"
"chronic cystitis"	"DOID1680"
"heart septal defect"	"DOID1681"
"cardiac septal defects"	"DOID1681"
"cardiac septal defects (disorder)"	"DOID1681"
"congenital septal defect of heart (disorder)"	"DOID1681"
"septal defect"	"DOID1681"
"septal defect nos"	"DOID1681"
"septal defect nos"	"DOID1681"
"septal defect nos (disorder)"	"DOID1681"
"congenital heart disease"	"DOID1682"
"congenital anomaly of heart"	"DOID1682"
"congenital heart defect"	"DOID1682"
"congenital heart defects"	"DOID1682"
"heart defect"	"DOID1682"
"heart malformation"	"DOID1682"
"glaucoma"	"DOID1686"
"neovascular glaucoma"	"DOID1687"
"neovascular glaucoma"	"DOID1687"
"neovascular glaucoma (disorder)"	"DOID1687"
"secondary angle-closure glaucoma with rubeosis"	"DOID1687"
"neuroendocrine tumor"	"DOID169"
"neuroendocrine neoplasm"	"DOID169"
"congenital ichthyosiform erythroderma"	"DOID1699"
"alligator skin"	"DOID1699"
"congenital non bullous ichthyosiform erythroderma"	"DOID1699"
"ichthyosiform erythroderma"	"DOID1699"
"lamellar ichthyosis"	"DOID1699"
"nonbullous congenital ichthyosiform erythroderma"	"DOID1699"
"musculoskeletal system disease"	"DOID17"
"endocrine gland cancer"	"DOID170"
"endocrine neoplasm"	"DOID170"
"endocrine tumor"	"DOID170"
"malignant endocrine tumor"	"DOID170"
"malignant neoplasm of endocrine gland"	"DOID170"
"malignant tumour of endocrine gland"	"DOID170"
"neoplasm of endocrine gland (disorder)"	"DOID170"
"neoplasm of endocrine gland (disorder)"	"DOID170"
"neoplasm of endocrine system (disorder)"	"DOID170"
"x-linked ichthyosis"	"DOID1700"
"x-linked ichthyosis with steryl-sulphatase deficiency"	"DOID1700"
"x-linked placental steryl-sulphatase deficiency"	"DOID1700"
"x-linked recessive ichthyosis"	"DOID1700"
"steroid inherited metabolic disorder"	"DOID1701"
"ichthyosis vulgaris"	"DOID1702"
"dominant congenital ichthyosiform erythroderma (disorder)"	"DOID1702"
"richter's syndrome"	"DOID1703"
"richter syndrome"	"DOID1703"
"neuroectodermal tumor"	"DOID171"
"primitive neuroectodermal neoplasm"	"DOID171"
"aortic valve stenosis"	"DOID1712"
"aortic stenosis"	"DOID1712"
"as"	"DOID1712"
"congenital aortic valve stenosis"	"DOID1712"
"rheumatic aortic stenosis"	"DOID1712"
"rheumatic aortic valve stenosis"	"DOID1712"
"benign shuddering attacks"	"DOID1713"
"clear cell acanthoma"	"DOID172"
"clear cell acanthoma (disorder)"	"DOID172"
"clear cell acanthoma (morphologic abnormality)"	"DOID172"
"pale (clear cell) acanthoma"	"DOID172"
"duodenal ulcer"	"DOID1724"
"curling ulcer"	"DOID1724"
"curling's ulcers (disorder)"	"DOID1724"
"du - acute + perforation"	"DOID1724"
"stress ulcer"	"DOID1724"
"stress ulcer (disorder)"	"DOID1724"
"stress ulcer nos"	"DOID1724"
"peritoneum cancer"	"DOID1725"
"partial of retinal vein occlusion"	"DOID1726"
"partial occlusion of retinal vein (disorder)"	"DOID1726"
"partial retinal vein occlusion"	"DOID1726"
"retinal vein occlusion"	"DOID1727"
"occlusion, of retinal vein"	"DOID1727"
"retinal vein occlusion"	"DOID1727"
"retinal vascular occlusion"	"DOID1729"
"retinal vasc. occlusion"	"DOID1729"
"retinal vasc. occlusion"	"DOID1729"
"retinal vascular occlusion"	"DOID1729"
"retinal vascular occlusion (disorder)"	"DOID1729"
"retinal vascular occlusion nos (disorder)"	"DOID1729"
"retinal vascular occlusion, unspecified"	"DOID1729"
"unspecified retinal vascular occlusion (disorder)"	"DOID1729"
"eccrine sweat gland neoplasm"	"DOID173"
"eccrine skin neoplasm"	"DOID173"
"eccrine tumor"	"DOID173"
"histoplasmosis"	"DOID1731"
"reticuloendothelial hyperplasia"	"DOID1731"
"reticuloendotheliosis"	"DOID1731"
"cryptosporidiosis"	"DOID1733"
"cryptosporidial gastroenteritis (disorder)"	"DOID1733"
"infection by cryptosporidium (disorder)"	"DOID1733"
"intestinal cryptosporidiosis"	"DOID1733"
"duodenal benign neoplasm"	"DOID1737"
"neoplasm of duodenum"	"DOID1737"
"neoplasm of the duodenum"	"DOID1737"
"small intestine leiomyoma"	"DOID1738"
"leiomyoma, small bowel"	"DOID1738"
"acanthoma"	"DOID174"
"drug psychosis"	"DOID1742"
"drug-induced psychosis"	"DOID1742"
"drug-induced psychotic disorder"	"DOID1742"
"conjunctiva squamous cell carcinoma"	"DOID1748"
"conjunctival epidermoid carcinoma"	"DOID1748"
"squamous cell carcinoma of conjunctiva (disorder)"	"DOID1748"
"squamous cell carcinoma"	"DOID1749"
"epidermoid carcinoma"	"DOID1749"
"malignant squamous cell tumor"	"DOID1749"
"squamous carcinoma"	"DOID1749"
"squamous cell cancer"	"DOID1749"
"squamous cell carcinoma (disorder)"	"DOID1749"
"squamous cell carcinoma (morphologic abnormality)"	"DOID1749"
"squamous cell carcinoma nos (morphologic abnormality)"	"DOID1749"
"squamous cell epithelioma"	"DOID1749"
"vascular cancer"	"DOID175"
"blood vessel neoplasm"	"DOID175"
"blood vessel neoplasm"	"DOID175"
"blood vessel tumor (morphologic abnormality)"	"DOID175"
"blood vessel tumors (morphologic abnormality)"	"DOID175"
"blood vessel tumour disorder"	"DOID175"
"haemangiomatous tumour"	"DOID175"
"leiomyosarcoma of the renal vein"	"DOID175"
"malignant great vessel tumor"	"DOID175"
"malignant tumor of pulmonary artery"	"DOID175"
"malignant tumor of pulmonary vein"	"DOID175"
"malignant vascular neoplasm"	"DOID175"
"malignant vascular tumor"	"DOID175"
"neoplasm of great vessel"	"DOID175"
"pulmonary artery malignant neoplasm"	"DOID175"
"pulmonary vein malignant neoplasm"	"DOID175"
"renal vein leiomyosarcoma"	"DOID175"
"vascular tissue neoplasm"	"DOID175"
"vascular tumors"	"DOID175"
"malignant conjunctiva melanoma"	"DOID1751"
"conjunctival melanoma"	"DOID1751"
"malignant melanoma of conjunctiva (disorder)"	"DOID1751"
"ocular melanoma"	"DOID1752"
"eye melanoma"	"DOID1752"
"intraocular melanoma"	"DOID1752"
"melanoma of eye"	"DOID1752"
"mitral valve stenosis"	"DOID1754"
"mitral stenosis"	"DOID1754"
"facial nerve disease"	"DOID1756"
"facial hemiatrophy"	"DOID1757"
"parry-romberg syndrome"	"DOID1757"
"american histoplasmosis"	"DOID1759"
"cardiovascular cancer"	"DOID176"
"cardiovascular neoplasm"	"DOID176"
"cardiovascular tumors"	"DOID176"
"facial nerve neoplasm"	"DOID1760"
"neoplasm of facial nerve (disorder)"	"DOID1760"
"tumor of facial nerve"	"DOID1760"
"melkersson-rosenthal syndrome"	"DOID1761"
"cheilitis granulomatosa of mescher-melkersson-rosenthal"	"DOID1761"
"cheilitis granulomatosa of miescher-melkersson-rosenthal (disorder)"	"DOID1761"
"melkersson's syndrome"	"DOID1761"
"melkersson's syndrome (disorder)"	"DOID1761"
"cheilitis"	"DOID1762"
"factitious disorder"	"DOID1766"
"munchausen syndrome "	"DOID1766"
"conversion disorder"	"DOID1768"
"conversion hysteria or reaction"	"DOID1768"
"conversion hysterical neurosis"	"DOID1768"
"hysterical neurosis, conversion type"	"DOID1768"
"toxic megacolon"	"DOID1770"
"toxic megacolon (disorder)"	"DOID1770"
"labyrinthine unilateral reactive loss"	"DOID1776"
"labyrinthine unilateral reactive loss (disorder)"	"DOID1776"
"loss of labyrinthine reactivity, unilateral"	"DOID1776"
"unilateral loss of labyrinthine reactivity (disorder)"	"DOID1776"
"unilateral hyperactive labyrinth"	"DOID1777"
"hyperactive labyrinth, unilateral"	"DOID1777"
"hyperactive unilateral labyrinthine dysfunction (disorder)"	"DOID1777"
"unilateral hyperactive labyrinth (disorder)"	"DOID1777"
"vascular disease"	"DOID178"
"vascular tissue disease"	"DOID178"
"thyroid cancer"	"DOID1781"
"malignant neoplasm of thyroid gland"	"DOID1781"
"malignant tumour of thyroid gland"	"DOID1781"
"neoplasm of thyroid gland"	"DOID1781"
"thyroid gland neoplasm"	"DOID1781"
"thyroid neoplasm"	"DOID1781"
"pituitary cancer"	"DOID1785"
"malignant pituitary neoplasm"	"DOID1785"
"malignant tumor of pituitary gland (disorder)"	"DOID1785"
"neoplasm of pituitary gland (disorder)"	"DOID1785"
"pituitary gland cancer"	"DOID1785"
"pituitary gland neoplasm"	"DOID1785"
"pituitary neoplasm"	"DOID1785"
"adrenal rest tumor"	"DOID1786"
"adrenal rest neoplasm"	"DOID1786"
"pericarditis"	"DOID1787"
"peritoneal mesothelioma"	"DOID1788"
"advanced malignant mesothelioma of peritoneum"	"DOID1788"
"advanced malignant peritoneal mesothelioma"	"DOID1788"
"malignant mesothelioma of peritoneum"	"DOID1788"
"benign peritoneal mesothelioma"	"DOID1789"
"mesothelioma of peritoneum"	"DOID1789"
"malignant mesothelioma"	"DOID1790"
"advanced malignant mesothelioma"	"DOID1790"
"asbestos-related malignant mesothelioma"	"DOID1790"
"diffuse malignant mesothelioma"	"DOID1790"
"malignant tumor of mesothelium"	"DOID1790"
"peritoneal carcinoma"	"DOID1791"
"primary peritoneal carcinoma"	"DOID1791"
"pancreas lymphoma"	"DOID1792"
"lymphoma of pancreas"	"DOID1792"
"pancreatic cancer"	"DOID1793"
"ca body of pancreas"	"DOID1793"
"ca head of pancreas"	"DOID1793"
"ca tail of pancreas"	"DOID1793"
"malignant neoplasm of body of pancreas"	"DOID1793"
"malignant neoplasm of head of pancreas"	"DOID1793"
"malignant neoplasm of tail of pancreas"	"DOID1793"
"pancreas neoplasm"	"DOID1793"
"pancreatic neoplasm"	"DOID1793"
"pancreatic tumor"	"DOID1793"
"tumor of exocrine pancreas"	"DOID1795"
"malignant neoplasm of the exocrine pancreas"	"DOID1795"
"malignant tumor of exocrine pancreas"	"DOID1795"
"malignant tumor of exocrine pancreas (disorder)"	"DOID1795"
"pancreatic exocrine tumor"	"DOID1795"
"tumor of exocrine pancreas (disorder)"	"DOID1795"
"pancreas sarcoma"	"DOID1796"
"sarcoma of pancreas"	"DOID1796"
"pancreatic endocrine carcinoma"	"DOID1798"
"carcinoma of endocrine pancreas (disorder)"	"DOID1798"
"islet cell carcinoma (morphologic abnormality)"	"DOID1798"
"malignant neoplasm of islets of langerhans"	"DOID1798"
"pancreatic neuroendocrine carcinoma"	"DOID1798"
"islet cell tumor"	"DOID1799"
"endocrine pancreas cancer"	"DOID1799"
"islet cell neoplasm"	"DOID1799"
"islet cell tumor"	"DOID1799"
"islet cell tumour"	"DOID1799"
"malignant pancreatic endocrine tumor"	"DOID1799"
"malignant tumor of endocrine pancreas (disorder)"	"DOID1799"
"pancreatic endocrine neoplasm"	"DOID1799"
"urinary system disease"	"DOID18"
"non-neoplastic urinary tract disease"	"DOID18"
"urinary tract disease"	"DOID18"
"ossifying fibroma"	"DOID180"
"fibro-osteoma (disorder)"	"DOID180"
"ossifying fibroma (calcified structure)"	"DOID180"
"ossifying fibroma (morphologic abnormality)"	"DOID180"
"neuroendocrine carcinoma"	"DOID1800"
"mononeuritis"	"DOID1802"
"(mononeuritis of unspecified site nos) or (hereditary or idiopathic peripheral neuropathy)"	"DOID1802"
"neuritis"	"DOID1803"
"peripheral neuritis (disorder)"	"DOID1803"
"reflex sympathetic dystrophy"	"DOID1811"
"calcinosis"	"DOID182"
"calcinosis (disorder)"	"DOID182"
"pathologic calcification"	"DOID182"
"pathologic calcification"	"DOID182"
"pathologically calcified structure"	"DOID182"
"secondary lacrimal atrophy"	"DOID1822"
"secondary lacrimal atrophy (disorder)"	"DOID1822"
"status epilepticus"	"DOID1824"
"(grand mal status) or (status epilepticus)"	"DOID1824"
"childhood absence epilepsy"	"DOID1825"
"petit mal seizure"	"DOID1825"
"pyknolepsy"	"DOID1825"
"epilepsy syndrome"	"DOID1826"
"epilepsy"	"DOID1826"
"epileptic syndrome"	"DOID1826"
"idiopathic generalized epilepsy"	"DOID1827"
"generalised epilepsy"	"DOID1827"
"urethral stricture"	"DOID1829"
"mononeuritis multiplex"	"DOID1835"
"mononeuritis multiplex"	"DOID1835"
"mononeuritis multiplex (disorder)"	"DOID1835"
"diabetic ketoacidosis"	"DOID1837"
"diabetes mellitus, ketosis-prone"	"DOID1837"
"ketosis-prone diabetes mellitus"	"DOID1837"
"menkes disease"	"DOID1838"
"copper transport disease"	"DOID1838"
"menkes kinky-hair syndrome (disorder)"	"DOID1838"
"steely hair syndrome"	"DOID1838"
"bone cancer"	"DOID184"
"bone neoplasm"	"DOID184"
"bone tumor (morphologic abnormality)"	"DOID184"
"bone tumour"	"DOID184"
"ca - bone cancer"	"DOID184"
"malignant bone neoplasm"	"DOID184"
"malignant bone tumour"	"DOID184"
"malignant neoplasm of bone, nos"	"DOID184"
"malignant osseous tumor"	"DOID184"
"neoplasm of bone (disorder)"	"DOID184"
"osseous tumor"	"DOID184"
"mononeuritis of upper limb"	"DOID1844"
"mononeuritis of upper limb (disorder)"	"DOID1844"
"mononeuritis of upper limb, unspecified"	"DOID1844"
"mononeuritis upper limb nos (disorder)"	"DOID1844"
"cannabis dependence"	"DOID1849"
"intrahepatic cholestasis"	"DOID1852"
"intrahepatic cholestasis of pregnancy"	"DOID1852"
"cherubism"	"DOID1856"
"mccune albright syndrome"	"DOID1858"
"fibrous dysplasia of bone"	"DOID1858"
"fibrous dysplasia of bone (disorder)"	"DOID1858"
"osteitis fibrosa disseminata"	"DOID1858"
"polyostotic fibrous dysplasia"	"DOID1858"
"jaw cancer"	"DOID1862"
"neoplasm of jaw (disorder)"	"DOID1862"
"skull cancer"	"DOID1863"
"giant cell reparative granuloma"	"DOID1866"
"central giant cell (reparative) granuloma"	"DOID1866"
"central giant cell granuloma"	"DOID1866"
"central giant cell reparative granuloma of jaw (disorder)"	"DOID1866"
"chronic rheumatic pericarditis"	"DOID1869"
"chronic rheumatic pericarditis (disorder)"	"DOID1869"
"chronic rheumatic pericarditis nos (disorder)"	"DOID1869"
"impotence"	"DOID1875"
"erectile dysfunction"	"DOID1875"
"sexual impotence (finding)"	"DOID1875"
"sexual dysfunction"	"DOID1876"
"abnormal sexual function (finding)"	"DOID1876"
"atrial heart septal defect"	"DOID1882"
"atrial septal defect"	"DOID1882"
"atrioseptal defect"	"DOID1882"
"auricular septal defect"	"DOID1882"
"congenital atrial septal defect"	"DOID1882"
"interatrial septal defect"	"DOID1882"
"interauricular septal defect"	"DOID1882"
"hepatitis c"	"DOID1883"
"chronic hepatitis c"	"DOID1883"
"hepatitis c infection"	"DOID1883"
"hepatitis nona nonb"	"DOID1883"
"nanbh"	"DOID1883"
"viral hepatitis c"	"DOID1883"
"viral hepatitis"	"DOID1884"
"animal viral hepatitis"	"DOID1884"
"human viral hepatitis"	"DOID1884"
"unspecified viral hepatitis with hepatic coma"	"DOID1884"
"viral hepatitis with hepatic coma"	"DOID1884"
"viral hepatitis with hepatic coma (disorder)"	"DOID1884"
"optic nerve disease"	"DOID1891"
"disorder of optic nerve (disorder)"	"DOID1891"
"disorder of the second nerve"	"DOID1891"
"optic nerve disorder"	"DOID1891"
"optic nerve disorder"	"DOID1891"
"optic neuropathy (disorder)"	"DOID1891"
"eczematous dermatitis of eyelid"	"DOID1893"
"eczematous dermatitis of eyelid (disorder)"	"DOID1893"
"noninfectious dermatoses of eyelid"	"DOID1894"
"non-infected eyelid dermatoses nos (disorder)"	"DOID1894"
"noninfectious dermatosis of eyelid (disorder)"	"DOID1894"
"allergic contact dermatitis of eyelid"	"DOID1895"
"allergic contact dermatitis of eyelid (disorder)"	"DOID1895"
"contact and allergic dermatitis of eyelid"	"DOID1895"
"sigmoid neoplasm"	"DOID1896"
"neoplasm of sigmoid colon (disorder)"	"DOID1896"
"tumor of sigmoid colon (disorder)"	"DOID1896"
"sigmoid disease"	"DOID1897"
"vagina sarcoma"	"DOID1901"
"sarcoma of the vagina"	"DOID1901"
"malignant skin fibrous histiocytoma"	"DOID1906"
"malignant fibrous histiocytoma of skin (disorder)"	"DOID1906"
"vaginal melanoma"	"DOID1906"
"vaginal melanoma"	"DOID1906"
"malignant fibroxanthoma"	"DOID1907"
"fibrous histiocytoma, malignant (morphologic abnormality)"	"DOID1907"
"fibroxanthosarcoma"	"DOID1907"
"fibroxanthosarcoma (morphologic abnormality)"	"DOID1907"
"mfh"	"DOID1907"
"melanoma"	"DOID1909"
"malignant melanoma"	"DOID1909"
"naevocarcinoma"	"DOID1909"
"vaginal yolk sac tumor"	"DOID1910"
"vaginal endodermal sinus neoplasm"	"DOID1910"
"vaginal yolk sac neoplasm"	"DOID1910"
"endodermal sinus tumor"	"DOID1911"
"hepatoid yolk sac tumour"	"DOID1911"
"infantile embryonal carcinoma"	"DOID1911"
"yolk sac neoplasm"	"DOID1911"
"yolk sac tumor (disorder)"	"DOID1911"
"lesch-nyhan syndrome"	"DOID1919"
"complete hypoxanthine-guanine phosphoribosyltransferase deficiency"	"DOID1919"
"deficiency of imp pyrophosphorylase"	"DOID1919"
"hg-prt deficiency"	"DOID1919"
"hypoxanthine guanine phosphoribosyltransferase deficiency"	"DOID1919"
"hypoxanthine-guanine phosphoribosyltransferase deficiency (disorder)"	"DOID1919"
"hypoxanthine-guanine phosphoribosyltransferase deficiency (disorder) [ambiguous]"	"DOID1919"
"hypoxanthine-guanine-phosphoribosyltransferase deficiency (& [lesch - nyhan syndrome])"	"DOID1919"
"lesch - nyhan syndrome"	"DOID1919"
"lesch-nyhan syndrome (disorder)"	"DOID1919"
"x-linked hyperuricemia (disorder) [ambiguous]"	"DOID1919"
"sex cord-gonadal stromal tumor"	"DOID192"
"malignant testicular sex cord-stromal tumor"	"DOID192"
"sex cord stromal tumour"	"DOID192"
"sex cord-stromal tumor"	"DOID192"
"sex cord-stromal tumor, no icd-o subtype (morphologic abnormality)"	"DOID192"
"specialized gonadal neoplasm (morphologic abnormality)"	"DOID192"
"specialized gonadal neoplasm (morphologic abnormality)"	"DOID192"
"specialized gonadal neoplasm nos (morphologic abnormality)"	"DOID192"
"specialized gonadal tumor (qualifier value)"	"DOID192"
"hyperuricemia"	"DOID1920"
"(blood urate raized) or (hyperuricemia)"	"DOID1920"
"uricacidemia"	"DOID1920"
"klinefelter's syndrome"	"DOID1921"
"hypogonadotropic hypogonadism"	"DOID1921"
"klinefelter syndrome"	"DOID1921"
"xxy syndrome"	"DOID1921"
"xxy trisomy"	"DOID1921"
"sex differentiation disease"	"DOID1923"
"disorder of sexual differentiation (disorder)"	"DOID1923"
"sex differentiation disorder"	"DOID1923"
"hypogonadism"	"DOID1924"
"coffin-siris syndrome"	"DOID1925"
"dwarfism-onychodysplasia"	"DOID1925"
"fifth digit syndrome"	"DOID1925"
"short stature-onychodysplasia."	"DOID1925"
"gaucher's disease"	"DOID1926"
"acid beta-glucosidase deficiency"	"DOID1926"
"gaucher disease"	"DOID1926"
"glocucerebrosidase deficiency"	"DOID1926"
"glucosylceramide beta-glucosidase deficiency"	"DOID1926"
"kerasin thesaurismosis"	"DOID1926"
"lipoid histiocytosis (kerasin type)"	"DOID1926"
"sphingolipidosis"	"DOID1927"
"sphingolipidoses"	"DOID1927"
"sphingolipidosis (disorder)"	"DOID1927"
"sphingolipidosis, nos"	"DOID1927"
"williams-beuren syndrome"	"DOID1928"
"fanconi schlesinger syndrome"	"DOID1928"
"supravalvular aortic stenosis"	"DOID1929"
"supra-valvular aortic stenosis"	"DOID1929"
"supra-valvular aortic stenosis"	"DOID1929"
"supravalvar aortic stenosis (disorder)"	"DOID1929"
"reproductive organ cancer"	"DOID193"
"malignant reproductive system neoplasm"	"DOID193"
"reproductive tumor"	"DOID193"
"laurence-moon syndrome"	"DOID1930"
"hypothalamic disease"	"DOID1931"
"disorder of hypothalamus (disorder)"	"DOID1931"
"hypothalamus disorder"	"DOID1931"
"hypothalamus disorder"	"DOID1931"
"angelman syndrome"	"DOID1932"
"happy puppet syndrome"	"DOID1932"
"puppetlike syndrome"	"DOID1932"
"rubinstein-taybi syndrome"	"DOID1933"
"broad thumb-hallux syndrome"	"DOID1933"
"proximal chromosome 16p13.3 deletion syndrome"	"DOID1933"
"rubinstein syndrome"	"DOID1933"
"dysostosis"	"DOID1934"
"bardet-biedl syndrome"	"DOID1935"
"atherosclerosis"	"DOID1936"
"intermittent squint"	"DOID1942"
